question,expected_answer,generated_answer,inference_type
"Who is the artist that has a fully booked Eras Tour for the next year, has been invited and accepted to attend a game at Arrowhead Stadium, maintains privacy from the paparazzi despite public outings, and is openly in a relationship with Travis Kelce, as reported by 'The Independent - Life and Style'?",Taylor Swift,taylor swift,KG
"Which person, who has been open about her relationship with Travis Kelce and was spotted at Arrowhead Stadium, has a tour booked for the next year and has stated that paparazzi attention does not affect her, as reported by 'The Independent - Life and Style' and 'The Age'?",Taylor Swift,taylor swift,KG
"What company, known for its significant presence in the e-reader space through its Kindle lineup as mentioned by The Verge, also offers life-changing selling opportunities according to Cnbc | World Business News Leader, and was the focus of a Cyber Monday sale with deals reported by Mashable?",Amazon,black friday,KG
"Which pop star, recognized by Time as Person of the Year, was seen supporting a football team at Arrowhead Stadium where she was personally invited by a player who also made her a friendship bracelet with his number on it, as reported by 'The Age', 'The Independent - Life and Style', and 'CBSSports.com'?",Taylor Swift,travis kelce,KG
"Who, according to articles from 'The Independent - Life and Style', has openly discussed her relationship with Travis Kelce, remains unaffected by paparazzi during her outings, and has committed to a year-long tour that she insists on not canceling?",Taylor Swift,taylor swift,KG
"Which individual, recognized by 'The Independent - Life and Style' as Time's Person of the Year, has not only performed at a venue reported by 'CBSSports.com' but was also observed supporting at the same location according to 'The Age'?",Taylor Swift,taylor swift,KG
"Which company, known for dominating the e-reader space with its Kindle lineup and for offering a two-pack of USB-C-to-USB-C cables for $15.99, has a history of introducing invite-only deals during Prime Day events and is described by sellers as providing a life-changing opportunity, as reported by Polygon, Wired, The Verge, and Cnbc | World Business News Leader?",Amazon,Amazon,LLM
"Which celebrity, known for not letting paparazzi affect her and being open about her relationship with Travis Kelce, has both performed and attended a game at Arrowhead Stadium and was intended to receive a friendship bracelet during her concert in Kansas City according to reports by 'The Age', 'CBSSports.com', and 'The Independent - Life and Style'?",Taylor Swift,taylor swift,KG
"Who is the NFL player that contributed to his team's Super Bowl victories in 2020 and 2023 and is expected to have a productive game against the Raiders on Christmas Day, as reported by sources 'The Age' and 'Yardbarker'?",Travis Kelce,Travis Kelce,LLM
"Which public figure, who was recognized by 'The Independent - Life and Style' as Time's Person of the Year and is known for her ability to keep major events private as noted by 'BBC News - Entertainment & Arts', has been the subject of rumors involving a friendship bracelet mentioned in articles from both 'The Age' and 'CBSSports.com'?",Taylor Swift,taylor swift,KG
"Considering the reported details from 'The Independent - Life and Style' regarding Jada Pinkett Smith's memoir, the undisclosed efforts in their relationship, the timeframe of their separation mentioned at the 2022 Academy Awards, and Jada's pre-marital views on divorce, what longstanding Hollywood couple's union embodies these aspects and has faced public scrutiny despite a commitment made before their marriage to remain under the same roof?",Will Smith and Jada Pinkett Smith,Jada Pinkett Smith and Will Smith,LLM
"Which company, featured in articles from Polygon, Wired, and CNBC | World Business News Leader, is not only the platform where a two-pack of USB-C-to-USB-C cables can be purchased for $15.99 but has also created a Prime-themed sale day and is considered to provide a life-changing opportunity for sellers?",Amazon,Amazon,LLM
"Who is the pop star that has been rumored to be in a relationship with a Chiefs TE, has performed and been seen cheering at Arrowhead Stadium, and is committed to a tour schedule that prevents show cancellations, according to sources like 'The Independent - Life and Style', 'The Age', and 'CBSSports.com'?",Taylor Swift,travis kelce,KG
"Which person, who is the subject of an article in 'The Independent - Life and Style' regarding a rumored relationship and is also mentioned in 'The Age' for receiving a symbolic item during a concert in Kansas City, has a tour scheduled that includes a performance at a venue where she has previously attended a game, as reported by 'CBSSports.com'?",Taylor Swift,taylor swift,KG
"Which two celebrities, whose speculated romantic involvement was suggested by one being seen wearing a themed friendship bracelet and both being spotted at Arrowhead Stadium, with one cheering from the box seats and later seen leaving together, have been featured in articles by 'The Independent - Life and Style' and 'The Age'?",Taylor Swift and Travis Kelce,travis kelce,KG
"Which individual, commended by Kevin Federline for responsibly dealing with her situation according to 'The Independent - Life and Style', also described being ritually tortured by the age of 16 and became public property as reported by 'The Guardian'?",Britney Spears,britney spears,KG
