question,expected_answer,generated_answer,inference_type
"Which online betting platform provides a welcome bonus of up to $1000 in bonus bets for new customers' first losses, runs NBA betting promotions, and is anticipated to extend the same sign-up offer to new users in Vermont, as reported by both CBSSports.com and Sporting News?",Caesars Sportsbook,caesars sportsbook,KG
"Who is the player that, according to Sporting News, is the top wide receiver for Week 14 and may struggle to achieve 2,000-plus receiving yards in a single season due to strong pass defenses, and according to CBSSports.com, needs to average almost 153 yards per game in his final three games to reach this goal?",Tyreek Hill,tyreek hill,KG
"Which player, known for influencing Argentina's forward line with a youth movement including Julian Alvarez and Alejandro Garnacho, recently returned to play for Inter Miami and is expected to participate in their match after a period of injury, according to reports from Sporting News?",Lionel Messi,lionel messi,KG
"Which group of individuals can take advantage of hype around specific events to make money by placing wagers on scenarios such as whether a team will lead at the end of a certain quarter, as reported by Sporting News?",Bettors,Anyone using Kentucky sports betting sites,LLM
"Which football club, recently discussed in articles from 'The Guardian', 'The Roar | Sports Writers Blog', and 'BBC News - Entertainment & Arts', had a significant change in league position due to a points penalty after a series of wins, and is recognized for its history and community importance as emphasized by Farhad Moshiri following an introduction by its late chairman Bill Kenwright?",Everton Football Club,Everton Football Club,LLM
"Which NFL player, who has been reported by The New York Times to have amassed over 800 receiving yards in just six games, is discussed by CBSSports.com as needing to average almost 153 yards in his final three games to meet a personal goal, yet is also considered by Sporting News to be at a disadvantage due to the strong pass defenses of his team's upcoming opponents?",Tyreek Hill,tyreek hill,KG
"Who is the San Francisco 49ers player that has recently been a valuable fantasy football pick according to Sporting News, demonstrated a strong performance against the Cowboys with four touchdowns, yet has shown vulnerability under pressure as reported by CBSSports.com?",Brock Purdy,Brock Purdy,LLM
"What is the common term for the entities that may change their betting lines based on news or sentiment about a team's chances, can refund bets for weather-suspended games depending on their rules, profit from odds and lines regardless of the outcomes, and adjust NBA Rookie of the Year betting lines according to the information they gather, as reported by Sporting News?",Sportsbooks,sportsbooks,KG
"Which team, known for their safe handling throughout a World Cup and previously defeated by Argentina in Sydney in 2020, was involved in a controversial and dramatic final that was influenced by blitz defence and wet conditions according to articles from 'The Roar | Sports Writers Blog'?",All Blacks,all blacks,KG
"Which sports betting platform, featured in articles by both Sporting News and CBSSports.com, provides a cash-out option to settle bets early and offers new customers up to $1000 in bonus bets if their first bet loses, including expected promotions for new sign-ups in Vermont?",Caesars Sportsbook,vermont,KG
"Which NBA team, recently noted by Yardbarker for both its positive draft evaluations and its aging roster issues, would lead to a successful point spread bet as described by Sporting News if they win by 10 or more points?",Golden State Warriors,golden state warriors,KG
"What group of individuals engaging with Sporting News has the flexibility to utilize various betting strategies across different sports and events, while also needing to be mindful of promotional restrictions and capitalizing on event hype?",Bettors,bettors,KG
"What type of establishments, as reported by Sporting News, are likely to alter their betting odds and lines in response to news or gathered information about a team's potential to win or the performance of NBA rookies?",Sportsbooks,sportsbooks,KG
"Which NFL wide receiver, who is recognized as the top player at his position for Week 14 by Sporting News, also requires an average of almost 153 yards over his final three games according to CBSSports.com, but faces strong pass defenses in his remaining games, which might hinder his pursuit of 2,000 receiving yards for the season, despite having scored two touchdowns and accumulated 157 receiving yards in a recent victory over the Washington Commanders as reported by The Guardian?",Tyreek Hill,tyreek hill,KG
"Who is the player that played a crucial role in anchoring the team, demonstrated his ability to conclude a game with a significant hit, showcased an exemplary performance, but struggled to score against legspin bowling in the 12th over, as reported by The Guardian in a series of articles covering the West Indies v England men's T20 cricket internationals?",Shai Hope,andre russell,KG
"What team, featured in articles from 'The Roar | Sports Writers Blog' about their leaders aiming to end careers positively and being self-motivated, also suffered a defeat by Argentina in Christchurch and failed to defend successfully on their goal line against the Springboks in a dramatic final?",All Blacks,all blacks,KG
"Which football club, recently discussed in articles by The New York Times, The Guardian, and Sky Sports, experienced a home defeat in the Premier League, has a player named Reece James who may undergo a late fitness check, and is expanding its U.S. presence under Todd Boehly's co-ownership?",Chelsea,chelsea,KG
"What type of businesses, frequently covered by Sporting News, are known to change their betting lines based on events like injuries or roster changes, and also alter the odds for awards like the NBA Rookie of the Year based on collected data?",Sportsbooks,sportsbooks,KG
"What type of establishments, as reported by Sporting News, not only modify their betting lines due to events such as injuries or team changes but also offer incentives for new users and are designed to ensure profitability regardless of betting outcomes, specifically in scenarios like forecasting the NBA Rookie of the Year?",Sportsbooks,Sportsbooks,LLM
"What team, which has players like Steve Smith and Aaron Finch contributing to a score of 328 for 7 wickets in a 2015 World Cup semi-final and also won a match against India by just one run, recently experienced their first four-day game loss since January 2014 during a tour of India, as reported by 'The Roar | Sports Writers Blog' and 'Zee Business'?",Australia,australia,KG
"Who, according to various articles from Sporting News, can make money by engaging in activities such as placing prop bets on the performance of a team at a specific point in a game, deciding on the outcome of individual matches or the winning team in golf events, and taking advantage of bonus offers when their selected team wins on moneyline bets?",Bettors,,LLM
"Which sports betting platform, reported by both Sporting News and CBSSports.com, provides a sign-up incentive that could include a $1,000 Bonus Bet for new users in Vermont and also caters to fans of the NBA and PGA Tour with various promotions and betting options?",Caesars Sportsbook,caesars sportsbook,KG
"What entities, as reported by Sporting News, are responsible for changing betting lines due to new information or sentiment about a team's performance, balancing liabilities from uneven betting, determining refunds for weather-affected games, and updating NBA Rookie of the Year odds?",Sportsbooks,sportsbooks,KG
"What team, which would be under the leadership of its ninth manager since May 2013 if a new appointment occurs, is no longer competing in European competitions after a loss to Bayern at their home ground according to Sporting News reports?",Manchester United,manchester united,KG
"Who is the player mentioned in articles from 'The Guardian' and 'Sporting News' who scored two touchdowns in a game where his team defeated the Washington Commanders and might struggle to reach 2,000-plus receiving yards in a single season because of the strong pass defenses faced by the Miami Dolphins?",Tyreek Hill,washington commander,KG
"What type of establishments, as reported by Sporting News, are known to modify their betting lines based on news or sentiment about a team's performance, provide welcome bonuses with specific conditions, generate profit irrespective of betting outcomes, and alter NBA Rookie of the Year odds according to collected information?",Sportsbooks,Sportsbooks,LLM
"Which type of platforms, frequently highlighted by Sporting News, are known for providing welcome bonuses with specific requirements and also for adjusting NBA Rookie of the Year betting lines based on new information?",Sportsbooks,NBA betting apps,LLM
"What is the term for entities that, according to Sporting News, not only profit from betting outcomes regardless of the winner but also modify NBA Rookie of the Year odds by analyzing collected data?",Sportsbooks,sportsbooks,KG
"Which basketball team, recently commended by Yardbarker for their draft choices of Jonathan Kuminga and Moses Moody, would also lead to a successful point spread bet as per Sporting News if they were to win by 10 or more points?",Golden State Warriors,golden state warriors,KG
"Who is the cricketer that played both an anchor role and an exemplary innings for West Indies, as reported by The Guardian, and also struggled against legspin bowling in the first T20 international according to The Guardian?",Shai Hope,shai hope,KG
"Which team, known for their leaders aiming to end their careers on a positive note and having previously been defeated by Argentina in Sydney and Christchurch, attempted to utilize a numerical advantage on the field by kicking for the corner in a controversial and dramatic final as reported by The Roar | Sports Writers Blog?",All Blacks,all blacks,KG
