Question,Answer,Type,Evidence URLs
"Which former CTO of FTX cooperated with prosecutors and pleaded guilty to federal criminal charges at Alameda in Decemeber 2022?", Gary wang
"Who is the individual associated with the cryptocurrency industry facing a criminal trial on fraud and conspiracy charges, as reported by both The Verge and TechCrunch, and is accused by prosecutors of committing fraud for personal gain?",Sam Bankman-Fried,inference_query,https://www.theverge.com/2023/9/28/23893269/ftx-sam-bankman-fried-trial-evidence-crypto; https://techcrunch.com/2023/10/01/ftx-lawsuit-timeline/; https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/
"What is the name of the organization discussed in TechCrunch articles that, despite its financial instability, is recognized for creating ChatGPT, which is both a priority and a platform for ongoing innovations, and is planning to enhance its capabilities with the release of GPT-4 and associated APIs?",OpenAI,inference_query,https://techcrunch.com/2023/11/17/wtf-is-going-on-at-openai-sam-altman-fired/; https://techcrunch.com/2023/11/21/how-the-openai-fiasco-could-bolster-meta-and-the-open-ai-movement/; https://techcrunch.com/2023/11/30/one-year-later-chatgpt-is-still-alive-and-kicking/; https://techcrunch.com/2023/09/28/chatgpt-everything-to-know-about-the-ai-chatbot/
"Which company, as reported by both TechCrunch and The Verge, has spent billions to maintain its default search engine status on various platforms and is also accused of harming news publishers’ revenue through its business practices?",Google,inference_query,https://techcrunch.com/2023/10/30/5-things-we-learned-so-far-about-the-google-antitrust-case/; https://www.theverge.com/2023/9/26/23891037/apple-eddy-cue-testimony-us-google; https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/
"Which entity is currently engaged with Amazon to address competition concerns, facilitating dialogue with consumer groups against Meta, deploying staff within its AI Office for future regulations, and has previously focused on illegal content and disinformation issues related to the Israel-Hamas war, as reported by TechCrunch?",European Commission,inference_query,https://techcrunch.com/2023/11/27/eu-amazon-irobot-statement-of-objections/; https://techcrunch.com/2023/11/29/beuc-cpc-meta-complaint/; https://techcrunch.com/2023/12/11/eu-ai-act-gpai-rules-evolve/; https://techcrunch.com/2023/12/18/x-dsa-probe/
"Which company, covered by Engadget and Polygon, is set to release an updated gaming hardware with over 300 improvements on November 16, emphasizing a singular performance target for developers?",Valve,inference_query,https://www.engadget.com/the-steam-deck-oled-arrives-november-16-with-an-improved-screen-and-longer-battery-life-180032945.html?src=rss; https://www.polygon.com/reviews/23950861/steam-deck-oled-review-valve-handheld-gaming; https://www.engadget.com/the-steam-deck-oled-arrives-november-16-with-an-improved-screen-and-longer-battery-life-180032945.html?src=rss; https://www.engadget.com/steam-deck-oled-review-its-just-better-180038030.html?src=rss
"Which company, according to articles from TechCrunch and The Verge, not only spent billions to maintain its default search engine status across various devices and platforms but was also considered by a major tech competitor as the only valid option for such services at the time of their deal, and is simultaneously facing a class action lawsuit for allegedly harming news publishers' revenues through its business practices?",Google,inference_query,https://techcrunch.com/2023/10/30/5-things-we-learned-so-far-about-the-google-antitrust-case/; https://www.theverge.com/2023/9/26/23891037/apple-eddy-cue-testimony-us-google; https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/
"What company, recently reported by TechCrunch to have made significant profitability in the third quarter, has also faced criticism for not adequately preventing incidents and streamlining driver sign-ups, despite being aware of safety concerns since 2014 and introducing new app features to address them?",Uber,inference_query,https://techcrunch.com/2023/10/13/uber-sexual-assault-survivors-call-for-in-car-cameras-tech-upgrades/; https://techcrunch.com/2023/10/13/uber-sexual-assault-survivors-call-for-in-car-cameras-tech-upgrades/; https://techcrunch.com/2023/10/13/uber-sexual-assault-survivors-call-for-in-car-cameras-tech-upgrades/; https://techcrunch.com/2023/11/07/ubers-q3-numbers-profitability-gains/
"What entity, discussed in articles from both The Verge and Fortune, was involved in implementing a system to prevent liquidation due to software issues, took on losses to maintain another company's balance sheet, and claimed to have acted legally in its business practices as a customer, payment processor, and market maker?",Alameda Research,inference_query,https://www.theverge.com/2023/10/27/23935683/sam-bankman-fried-ftx-fraud-direct-testimony-jury; https://www.theverge.com/2023/10/12/23915108/sam-bankman-fried-ftx-alameda-caroline-ellison-lawyers; https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/
"Which individual, associated with both the beginning of a criminal trial reported by TechCrunch and the persuasion of a former Jane Street colleague as detailed by Fortune, is the same person who has entered a not-guilty plea to charges as covered by TechCrunch and is alleged by the prosecution in another TechCrunch article to have sought wealth, power, and influence through fraud?",Sam Bankman-Fried,inference_query,https://techcrunch.com/2023/10/01/ftx-lawsuit-timeline/; https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/; https://techcrunch.com/2023/10/02/sbf-60-minutes/; https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/
